"user" "system" "elapsed"
"GUIDE" 20.1800000000002 5.21500000000003 27.7759999999998
"baggingbwsel" 21.4280000000001 2.34299999999998 29.2299999999996
"erpR" 18.4999999999997 3.62300000000002 25.4529999999995
"gamlss.demo" 27.114 4.89900000000007 33.7489999999998
"rpanel" 23.5199999999998 5.71300000000001 32.021999999999
"lgcp" 114.417 17.5129999999999 131.4
"LinRegInteractive" 15.6769999999997 3.40299999999998 21.9149999999991
"optBiomarker" 29.4040000000002 4.97699999999999 36.6530000000002
"RVideoPoker" 9.79899999999999 2.20100000000005 14.9239999999991
"SDD" 34.701 5.00200000000004 41.8279999999995
"seedwater" 9.89000000000021 2.67000000000009 37.3349999999991
"smovie" 18.543 4.61600000000007 25.8829999999998
"spatstat.gui" 31.4540000000001 5.232 38.3860000000004
"stpp" 55.154 11.156 69.3510000000006
