Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Albania,ALB,1.255787876,1.371939334,1.437732802,1.179394909,1.109021087,1.161935504,1.326132752,1.355361462,1.513039382,1.557109477,1.751707132,1.987146414,2.515541641,2.304193625,1.849474806,1.912275112,2.015438494,2.279019436,2.532645414,2.897278457,1.93397971,2.691834839,2.629022549,2.692669586,2.704588441,2.662461157,2.653730657,2.387002091,2.291394849,2.757121853,2.274487511,1.205492003,0.730112155,0.726005542,0.606164226,0.663721204,0.647433638,0.498898089,0.568811612,0.973020365,0.985223266,1.048939714,1.213120166,1.340962004,1.616921841,1.428607804,1.324404337,1.337443547
Algeria,DZA,0.569955714,0.550599851,0.505318673,0.474809001,0.484450452,0.552841977,0.688768377,0.670864304,0.699375889,0.844656216,1.095773409,1.316784566,1.940075719,2.543218739,2.0536062,1.998042851,2.367270512,2.452367946,3.544930097,2.503853458,3.533265477,2.386579903,1.95255092,2.532517174,3.314735593,3.29105599,3.349586971,3.592207525,3.489874138,3.242303055,3.115948966,3.13884837,3.094909554,3.033026066,3.109062903,3.344296614,3.351799841,3.013477212,3.605633461,3.892367224,3.82421817,3.668823409,3.845342424,3.82135213,3.761373856,4.218533504,3.995600138,4.129139559
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.286094066,6.516074632,7.056467144,7.528064004,8.016878956,8.106445524,7.892031933,7.694914763,7.408888827,7.494235775,7.385579293,6.83496507,6.617618872
Angola,AGO,0.110737955,0.089901781,0.229218763,0.219473019,0.229297649,0.218579726,0.281229307,0.176767175,0.292445016,0.478848661,0.604037606,0.563437293,0.72868698,0.771375254,0.752063231,0.66463425,0.482158367,0.505307877,0.752668406,0.743174639,0.699373954,0.667583744,0.567148459,0.601916087,0.569616732,0.518141953,0.499535428,0.60767834,0.523071774,0.497885167,0.42826219,0.409613541,0.401268392,0.509723481,0.331049752,0.908954693,0.841800008,0.576570931,0.55580794,0.677123725,0.684580831,0.67584731,0.84990283,0.559106606,1.128535494,1.198148028,1.215275909,1.411838736
Antigua and Barbuda,ATG,0.670362442,0.859659255,1.820233491,1.466314031,1.561727448,2.510260009,5.703237646,9.067849452,15.60353938,19.4760724,7.038955891,6.386152598,5.543363147,4.836467103,6.226586103,10.18657447,5.765126591,6.61908081,6.960940269,5.766806097,2.034743977,1.525811686,4.260279348,1.243096531,2.197268407,3.797238394,3.860487457,4.326877657,4.560340838,4.595317726,4.830198386,4.670937311,4.594213348,4.717741194,4.655654384,4.69729903,4.576749468,4.660933049,4.494190592,4.580904126,4.435149892,4.350609487,4.505645472,4.752851339,4.909630846,4.890223557,5.003107637,5.073788328
Argentina,ARG,2.36480492,2.439695053,2.519188309,2.31325385,2.534853698,2.637985977,2.788733027,2.854238588,2.965911444,3.27164868,3.44685544,3.645645661,3.633557832,3.726433154,3.722249738,3.637202746,3.763478535,3.743932537,3.756193687,3.991529387,3.862231613,3.569767353,3.563299273,3.569939703,3.55974752,3.311382924,3.37954854,3.672811584,3.825307029,3.63483876,3.447090141,3.533179896,3.618006344,3.487492141,3.580719686,3.513029807,3.658900404,3.767828518,3.806906846,3.978245933,3.816915836,3.762704722,3.486689182,3.765503825,4.051151179,4.092700185,4.393643375,4.663104151
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.066295646,0.868608905,0.900817495,1.082203158,0.821233314,1.04490825,1.094803932,0.988724607,1.125607832,1.154482502,0.980316994,1.119352901,1.189186224,1.417341552,1.425093914,1.643577916
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,2.865927049,7.22962963,10.01961715,10.62707698,29.59640852,29.81442406,25.21863925,24.38526725,23.19772804,22.44298644,22.09806306,22.02848722,19.4958711,19.3055788,25.00275836,24.51579096,24.16947862,23.63870968,23.12057024,22.85555864,22.47393171,22.99118254
Australia,AUS,8.575914878,8.634499285,8.828459505,9.218891689,9.75108946,10.61363119,10.31964295,10.94666192,11.20099659,11.59106385,11.79323451,11.79945644,11.94185384,12.76923169,12.54939357,12.64954265,12.40663351,13.22107103,14.05834796,14.11753286,15.01262401,15.41987539,15.41231256,14.59949873,15.19084406,15.30216423,14.97906807,15.7439876,15.77194179,16.50678371,17.16240608,16.58360657,16.94508374,17.24155997,17.18047651,17.16577512,18.10009197,18.02596187,18.68951355,17.31755934,17.16740772,16.59529841,17.09297373,17.06419132,16.9088228,17.84607371,17.94727852,17.7358639
Austria,AUT,4.369454545,4.492238747,4.751380645,5.15371333,5.393164241,5.25939297,5.367649699,5.44207359,5.747831568,6.047783315,6.820783194,6.985666488,7.476316378,7.959121938,7.591513485,7.19270937,7.72875,7.431245403,7.604509996,8.151550728,6.919541374,7.413727429,7.106437814,6.877762712,7.217381356,7.234399471,7.142983741,7.618778291,7.017319816,7.085634615,7.89926963,8.441544377,7.771474506,7.336090726,7.257068898,7.6163382,7.658321705,7.688726146,7.878384373,7.70923945,7.701590711,7.902434965,8.051731851,8.636203898,8.491827712,8.829237365,8.658754007,8.273232855
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.978941208,5.770494463,5.574373042,4.366763305,4.062825196,3.820133708,3.989513964,3.667212827,3.7921337,3.626441942,3.668980049,3.845980156,4.027294714,4.190185478,4.129721906,3.699737802
"Bahamas, The",BHS,3.746729117,4.742650636,5.991180114,5.553258992,8.111226619,9.391316765,7.459212045,11.16319297,10.27760268,10.61750973,15.18671288,38.68931129,36.46509117,43.34458097,39.88827117,43.66847038,33.48955077,49.26480288,32.77111687,33.61794262,37.91004748,13.00002786,10.26708086,8.95314173,8.064341298,6.435935588,5.902531079,5.844661152,6.219983913,7.73066424,7.610444778,6.826674845,6.741756691,6.334487128,6.23912049,6.181446453,6.096398369,6.059529902,6.166121189,6.106915929,6.03176203,5.952666724,6.805576175,6.023965106,6.379482682,6.596985202,6.591595539,6.528910391
Bahrain,BHR,3.554753592,10.58573146,9.22943341,6.741908901,8.785555977,6.586710026,3.40016987,5.145460789,5.519342602,6.193198923,12.22613013,13.83605124,16.11643118,23.1393059,21.54408556,21.68055514,23.27606158,24.7499428,24.11912317,23.83351516,22.01734845,22.89544553,25.61463319,20.85937833,22.72639559,24.43082635,25.53816802,25.59877348,26.2957783,24.53679223,24.09259654,22.68464233,20.36119578,28.41798626,27.95053995,28.63334579,27.14952149,29.18293518,30.08590121,28.72670937,30.9336392,23.45493767,26.18161883,27.14183113,26.85711564,27.13598517,26.22206776,24.24636909
Bangladesh,BGD,,,,,,,,,,,,,0.051217547,0.066015761,0.066941373,0.068937979,0.077242373,0.078568399,0.079044474,0.084791933,0.094662532,0.095618801,0.100897647,0.094092873,0.1014827,0.110813018,0.120786752,0.121657871,0.135263861,0.130921338,0.147421868,0.147792455,0.160886103,0.154404873,0.164731742,0.194042041,0.200203918,0.204652754,0.192472268,0.198184298,0.214820459,0.24572995,0.250786146,0.259753524,0.267333555,0.285092029,0.292083241,0.303668757
Barbados,BRB,0.746034978,0.838574279,1.118947051,0.815979717,0.765758888,0.872117686,1.133778697,1.425662845,1.855393419,2.019650168,1.796733349,2.016535955,2.079877354,1.975657443,2.008632222,2.311944831,2.155093034,2.387038296,2.545379641,2.42198137,2.709754176,2.743788944,2.571135805,2.718737228,2.951525011,3.326732673,3.58467824,3.669683011,3.669390306,3.825699568,4.136985985,4.630118571,3.746277802,4.253225652,2.845966105,3.143559996,3.216990807,3.400169,4.284800012,4.532647568,4.437709104,4.549397447,4.566148215,4.420373512,4.709843043,4.862703926,4.933778988,4.950658646
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.640236492,7.886599863,7.01523262,6.391692368,6.316793701,6.171976673,5.925571159,5.820776084,5.912205497,5.874374357,6.029633451,6.335393205,6.625764813,6.5764352,7.068988235,6.879724593
Belgium,BEL,9.971431955,10.11537421,10.63585507,11.38669999,11.05849728,11.15138865,11.05674043,11.23659893,12.35329635,12.84972766,13.0243453,12.55411475,13.46536039,14.25039392,13.83265029,12.45610373,13.24133972,12.87659866,13.70403093,14.09580319,13.57581395,12.43498823,11.80613961,10.21429221,10.59001238,10.4891199,10.34071304,10.37205268,10.04399273,10.71364218,10.78607139,11.69535469,11.34362728,10.73748743,11.17317885,11.19174019,11.78922753,11.43969826,11.69406018,11.33561197,11.26540616,11.24346146,10.42713481,11.08225733,10.72042561,10.26754733,10.15280797,9.688874333
Belize,BLZ,0.482920721,0.388786587,0.712762216,0.615535013,0.805697491,0.782208361,0.728537942,1.066871874,0.886038568,1.148926799,1.007835162,1.173962606,1.278684236,1.175579105,1.217270355,1.366813551,1.33832644,1.469117978,1.562666802,1.469083061,1.304986301,1.222206504,1.119335483,1.09696406,1.063127804,1.146377858,1.204131455,1.296621005,1.385717464,1.64,1.647830688,1.850886598,1.785969849,1.840936585,1.771222749,1.743150115,1.386378378,1.688626087,1.551631027,2.471805841,2.757534027,2.762596191,1.353966817,1.365465839,1.348393489,1.356106923,1.349445562,1.364443018
Benin,BEN,0.066627983,0.052318876,0.054549083,0.047944385,0.055796475,0.05772318,0.042921653,0.053069698,0.056129253,0.072129289,0.099009373,0.100773091,0.130702352,0.125430301,0.130849607,0.139323032,0.07980078,0.088814461,0.105838051,0.104182157,0.143086232,0.115590609,0.131704294,0.117833321,0.127358615,0.179652266,0.162767051,0.123209813,0.124735606,0.138572102,0.149687721,0.167825512,0.177163009,0.213999193,0.230957406,0.234708,0.217121824,0.203144474,0.197049803,0.246602404,0.247909037,0.258391448,0.295740046,0.318076153,0.322420767,0.335981352,0.473377375,0.47738837
Bermuda,BMU,3.548468468,3.865318681,3.380944206,3.149350105,4.121063395,3.583552894,3.951372549,4.086769231,4.217056604,3.664,4.130327273,4.227692308,4.664501845,7.900074349,8.302322097,8.641509434,8.815639098,8.508164794,7.929552239,8.581115242,8.07437037,7.139411765,7.221021898,8.164347826,7.97381295,8.047714286,7.469666081,9.952387543,11.04817717,13.15597315,9.871603306,8.349114754,6.667278689,7.868590164,7.710538336,7.54178282,7.709194757,7.698469286,7.451212314,7.972334746,7.96124318,7.919308357,8.349832669,8.07893401,10.5892609,6.974107283,8.154984326,8.015
Bhutan,BTN,,,,,,,,,,,0.012137313,0.011708726,0.011280267,0.01086048,0.010457666,0.010076925,0.00971708,0.018754543,0.027182689,0.052626791,0.05105043,0.057942202,0.072667494,0.063059478,0.107573514,0.127004841,0.108525877,0.195736578,0.203210098,0.112604559,0.22961504,0.336239332,0.395668758,0.350001405,0.406008976,0.480446755,0.584236421,0.749139566,0.711776166,0.69271864,0.699111791,0.704076184,0.846435125,0.745203233,0.730062267,0.85585013,0.809176485,0.840731882
